iso_code;continent;location;last_updated_date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred;new_vaccinations_smoothed_per_million;new_people_vaccinated_smoothed;new_people_vaccinated_smoothed_per_hundred;stringency_index;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;population;excess_mortality_cumulative_absolute;excess_mortality_cumulative;excess_mortality;excess_mortality_cumulative_per_million
BES;North America;Bonaire Sint Eustatius and Saba;18.01.2023;11779;3;2,143;41;0;0;435420,671;110,898;79,213;1515,6;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77,79;;27052;;;;
BIH;Europe;Bosnia and Herzegovina;18.01.2023;401232;6;11,429;16244;1;0,714;124084,824;1,856;3,534;5023,612;0,309;0,221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68,496;42,5;16,569;10,711;11713,895;0,2;329,635;10.sty;30,2;47,7;97,164;03.sty;77,4;0,78;3233530;;;;
BWA;Africa;Botswana;18.01.2023;328581;0;50,143;2795;0;0;124921,492;0;19,064;1062,616;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,044;25.sty;3,941;2,242;15807,374;;237,372;sty.00;05.sty;34,4;;01.sty;69,59;0,735;2630300;;;;
BRA;South America;Brazil;18.01.2023;36677844;12425;14139,857;695615;91;75,286;170346,232;57,707;65,671;3230,708;0,423;0,35;;;;;;;;;;;;;;;;;;;482569045;188944039;175319625;124055944;853;34153;224,12;87,75;81,43;57,62;159;17598;0,008;;25.sty;33,5;8,552;05.sty;14103,452;03.sty;177,961;08.sty;10.sty;17.sty;;02.sty;75,88;0,765;215313504;;;;
VGB;North America;British Virgin Islands;18.01.2023;7305;0;0;64;0;0;233148,219;0;0;2042,64;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;207,973;;;;;;;13,67;;;;;79,07;;31332;;;;
BRN;Asia;Brunei;18.01.2023;274217;1571;224,429;225;0;0;610725,565;3498,871;499,839;501,111;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81,347;32,4;4,591;2,382;71809,251;;201,285;sty.00;2;30.sty;;02.sty;75,86;0,838;449002;;;;
BGR;Europe;Bulgaria;18.01.2023;1294604;129;113,143;38154;4;2,714;190889,5;19,021;16,683;5625,811;0,59;0,4;;41;6,045;370;54,557;;;;;;;;;;;;;;4605718;2105767;2075242;;157;144;67,91;31.sty;30.sty;;21;36;0,001;;65,18;44,7;20,801;13,272;18563,307;01.sty;424,688;sty.00;30.sty;44,4;;7,454;75,05;0,816;6781955;;;;
BFA;Africa;Burkina Faso;18.01.2023;22025;0;0;396;0;0;971,387;0;0;17,465;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70,151;17.sty;2,409;1,358;1703,102;43,7;269,048;sty.00;01.sty;23.sty;11,877;0,4;61,58;0,452;22673764;;;;
BDI;Africa;Burundi;18.01.2023;52429;49;7;38;0;0;4067,548;3,802;0,543;2,948;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;423,062;17.sty;2,562;1,504;702,225;71,7;293,068;06.sty;;;6,144;0,8;61,58;0,433;12889583;;;;
KHM;Asia;Cambodia;18.01.2023;138668;3;3,714;3056;0;0;8269,873;0,179;0,222;182,254;0;0;;;;;;;;;;;;;;;;;;;45271453;15244858;14609937;10433215;;7760;269,99;90,92;87,13;62,22;463;413;0,002;;90,672;25.sty;4,412;2,385;3645,07;;270,892;4;2;33,7;66,229;0,8;69,82;0,594;16767851;;;;
CMR;Africa;Cameroon;18.01.2023;123993;0;0;1965;0;0;4441,878;0;0;70,393;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,885;18.sty;3,165;1,919;3364,926;23.sty;244,661;07.sty;;;2,735;01.sty;59,29;0,563;27914542;;;;
CAN;North America;Canada;18.01.2023;4543417;1456;1667,286;50063;31;38,429;118150,992;37,863;43,358;1301,882;0,806;0,999;;277;7,203;6013;156,367;;;;;;;;;;;;;;96682200;34703881;31747452;30230867;3088;24943;251,42;90,25;82,56;78,61;649;5661;0,015;;4,037;41,4;16,984;10,797;44017,591;0,5;105,599;sty.00;12;16.sty;;02.sty;82,43;0,929;38454328;;;;
CPV;Africa;Cape Verde;18.01.2023;63223;1;0,857;412;0;0;106586,396;1,686;1,445;694,583;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135,58;25.sty;sty.00;3,437;6222,554;;182,219;sty.00;02.sty;16.sty;;02.sty;72,98;0,665;593162;;;;
CYM;North America;Cayman Islands;18.01.2023;31472;0;0;37;0;0;457961,061;0;0;538,401;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;256,496;;;;49903,029;;;13,22;;;;;83,92;;68722;;;;
CAF;Africa;Central African Republic;18.01.2023;15361;0;1,429;113;0;0;2753,288;0;0,256;20,254;0;0;;;;;;;;;;;;;;;;;;;2457192;2064227;2014011;214090;;4901;44,04;37;36,1;sty.00;878;3783;0,068;;7,479;18.sty;3,655;2,251;661,24;;435,727;06.sty;;;16,603;1;53,28;0,397;5579148;;;;
TCD;Africa;Chad;18.01.2023;7651;0;0;194;0;0;431,691;0;0;10,946;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,833;16.sty;2,486;1,446;1768,153;38,4;280,995;06.sty;;;5,818;;54,24;0,398;17723312;;;;
CHL;South America;Chile;18.01.2023;5093902;3019;2723,571;63557;9;24,429;259843,43;154,001;138,931;3242,086;0,459;1,246;;118;6,019;;;;;;;;;;;;;;;;62653060;18085381;17697648;27444749;1891;1992;319,6;92,25;90,28;140;102;155;0,001;;24,282;35,4;11,087;6,938;22767,037;01.sty;127,993;sty.00;34,2;41,5;;02.sty;80,18;0,851;19603736;;;;
CHN;Asia;China;18.01.2023;2023904;0;0;5273;0;0;1419,4;0;0;3,698;0;0;;;;;;;;;;;;;;;;;;;3488058000;1310096000;1276302000;825855000;420000;821714;244,62;91,88;89,51;57,92;576;95800;0,007;;147,674;38,7;10,641;5,929;15308,712;0,7;261,899;sty.00;01.sty;48,4;;sty.00;76,91;0,761;1425887360;;;;
COL;South America;Colombia;18.01.2023;6348356;5297;756,714;142085;126;18;122380,24;102,113;14,588;2739,039;2,429;0,347;;;;;;;;;;;;;;;;;;;90046356;42938872;36919986;14614758;;12319;173,59;82,78;71,17;28,17;237;1412;0,003;;44,223;32,2;7,646;4,312;13254,949;04.sty;124,24;sty.00;04.sty;13.sty;65,386;sty.00;77,29;0,767;51874028;;;;
COM;Africa;Comoros;18.01.2023;8992;0;0,857;161;0;0;10745,916;0;1,024;192,404;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;437,352;20.sty;2,963;1,726;1413,89;18.sty;261,516;sty.00;04.sty;23.sty;15,574;02.sty;64,32;0,554;836783;;;;
COG;Africa;Congo;18.01.2023;25375;0;0;386;0;0;4250,113;0;0;64,652;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,405;19;3,402;2,063;4881,406;37;344,094;07.sty;01.sty;52,3;47,964;;64,57;0,574;5970430;;;;
COK;Oceania;Cook Islands;18.01.2023;6959;0;14,143;2;0;0,143;408583,842;0;830,37;117,426;0;8,388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76,25;;17032;;;;
CRI;North America;Costa Rica;18.01.2023;1177514;5712;816;9123;19;2,714;227282,624;1102,525;157,504;1760,913;3,667;0,524;;;;;;;;;;;;;;;;;;;12666724;4594450;4300356;2791092;;2875;244,49;88,68;83,01;53,87;555;353;0,007;;96,079;33,6;9,468;5,694;15524,995;01.sty;137,973;sty.00;06.sty;17.sty;83,841;sty.00;80,28;0,81;5180836;;;;
CIV;Africa;Cote d'Ivoire;18.01.2023;87964;1;0,571;833;0;0;3123,661;0,036;0,02;29,58;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76,399;18.sty;2,933;1,582;3601,006;28.sty;303,74;sty.00;;;19,351;;57,78;0,538;28160548;;;;
HRV;Europe;Croatia;18.01.2023;1266749;130;111,857;17790;8;8,714;314301,622;32,255;27,754;4413,997;1,985;2,162;;;;;;;;;;;;;;;;;;;5357352;2320862;2250740;;250;240;132,92;57,58;55,84;;60;15;0;;73,726;44;19,724;13,053;22669,797;0,7;253,782;sty.00;34,3;39,9;;sty.00;78,49;0,851;4030361;;;;
CUB;North America;Cuba;18.01.2023;1112303;6;12,857;8530;0;0;99204,723;0,535;1,147;760,779;0;0;;;;;;;;;;;;;;;;;;;42962409;10722151;10005558;8682527;23108;20884;383,18;95,63;89,24;77,44;1863;205;0,002;;110,408;43,1;14,738;9,719;;;190,968;sty.00;17.sty;53,3;85,198;05.sty;78,8;0,783;11212198;;;;
CUW;North America;Curacao;18.01.2023;45986;0;0;301;2;0,286;240546,521;0;0;1574,49;10,462;1,495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;362,644;41,7;16,367;10,068;;;;sty.00;;;;;78,88;;191173;;;;
CYP;Europe;Cyprus;18.01.2023;638062;3353;479;1270;0;1,143;712117,204;3742,158;534,594;1417,4;0;1,276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;127,657;37,3;13,416;8,563;32415,132;;141,171;sty.00;19.sty;52,7;;03.sty;80,98;0,887;896007;;;;
CZE;Europe;Czechia;18.01.2023;4585761;365;247,571;42266;2;5,286;436989,267;34,782;23,592;4027,639;0,191;0,504;;35;3,335;295;28,111;35;3,335;361;34,401;;;;;;;;;;18607094;6977382;6893146;5148092;926;794;177,31;66,49;65,69;49,06;76;22;0;;137,176;43,3;19,027;sty.00;32605,906;;227,485;sty.00;30.sty;38,3;;sty.00;79,38;0,9;10493990;;;;
COD;Africa;Democratic Republic of Congo;18.01.2023;95346;0;24,714;1463;0;0,143;962,992;0;0,25;14,776;0;0,001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,879;17;03.sty;1,745;808,133;77,1;318,949;06.sty;;;4,472;;60,68;0,48;99010216;;;;
DNK;Europe;Denmark;18.01.2023;3397700;205;245,286;8039;7;11,286;577618,225;34,851;41,699;1366,652;sty.00;1,919;;16;sty.00;363;61,711;;;324;55,081;;;;;;;;;;13162151;4793253;4757775;3657149;93;81;223,76;81,49;80,88;62,17;14;11;0;;136,52;42,3;19,677;12,325;46682,515;0,2;114,767;sty.00;19.sty;18.sty;;02.sty;80,9;0,94;5882259;;;;
DJI;Africa;Djibouti;18.01.2023;15690;0;0;189;0;0;13998,292;0;0;168,622;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41,285;25.sty;4,213;sty.00;2705,406;22.sty;258,037;06.sty;01.sty;24.sty;;01.sty;67,11;0,524;1120851;;;;
DMA;North America;Dominica;18.01.2023;15760;0;0;74;0;0;216608,483;0;0;1017,07;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98,567;;;;9673,367;;227,376;sty.00;;;;03.sty;75;0,742;72758;;;;
DOM;North America;Dominican Republic;18.01.2023;659761;155;27,429;4384;0;0;58756,035;13,804;2,443;390,424;0;0;;;;;;;;;;;;;;;;;;;16194089;7303408;6075336;2521011;1910;1441;144,22;65,04;54,1;22,45;128;211;0,002;;222,873;27.sty;6,981;4,419;14600,861;01.sty;266,653;08.sty;08.sty;19.sty;55,182;01.sty;74,08;0,756;11228821;;;;
ECU;South America;Ecuador;18.01.2023;1047624;7161;1023;35940;0;0;58198,094;397,811;56,83;1996,556;0;0;;;;;;;;;;;;;;;;;;;39362552;15320218;14220659;10386865;5540;4716;218,67;85,11;79;57,7;262;310;0,002;;66,939;28.sty;7,104;4,458;10581,936;03.sty;140,448;sty.00;2;12.sty;80,635;01.sty;77,01;0,759;18001002;;;;
EGY;Africa;Egypt;18.01.2023;515645;0;0;24805;0;0,286;4645,865;0;0;223,488;0;0,003;;;;;;;;;;;;;;;;;;;101227614;53809712;40149703;10041797;;13232;91,2;48,48;36,17;09.sty;119;4984;0,004;;97,999;25.sty;5,159;2,891;10550,206;01.sty;525,432;17,31;0,2;50,1;89,827;01.sty;71,99;0,707;110990096;;;;
SLV;North America;El Salvador;18.01.2023;201785;0;0;4230;0;0;31845,405;0;0;667,572;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;307,811;27.sty;8,273;5,417;7292,458;02.sty;167,295;sty.00;02.sty;18.sty;90,65;01.sty;73,32;0,673;6336393;;;;
OWID_ENG;Europe;England;11.01.2023;;;;;;;;;;;;;;182;3,218;7743;136,923;;;5659;100,071;;;;;;;;;;144409765;45385951;42894314;63854842;4845;14220;255,37;80,26;75,85;112,92;251;646;0,001;;;;;;;;;;;;;;;;56550000;;;;
GNQ;Africa;Equatorial Guinea;18.01.2023;17186;0;0;183;0;0;10260,813;0;0;109,259;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45,194;22.sty;2,846;1,752;22604,873;;202,812;sty.00;;;24,64;02.sty;58,74;0,592;1674916;;;;
ERI;Africa;Eritrea;18.01.2023;10189;0;0;103;0;0;2765,713;0;0;27,958;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44,304;19.sty;3,607;2,171;1510,459;;311,11;06.sty;0,2;11.sty;;0,7;66,32;0,459;3684041;;;;
EST;Europe;Estonia;18.01.2023;613218;375;53,571;2896;11;1,571;462434,694;282,792;40,399;2183,907;8,295;1,185;;5;3,771;152;114,625;4;3,007;136;102,25;;;;;;;;;;2104933;868764;848342;593975;195;258;158,74;65,51;63,97;44,79;195;13;0,001;;31,033;42,7;19,452;13,491;29481,252;0,5;255,569;04.sty;24.sty;39,3;;sty.00;78,74;0,892;1326064;;;;
SWZ;Africa;Eswatini;18.01.2023;74086;0;4,714;1422;0;0;61652,021;0;3,923;1183,343;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79,492;21.sty;3,163;1,845;7738,975;;333,436;sty.00;01.sty;16.sty;24,097;02.sty;60,19;0,611;1201680;;;;
ETH;Africa;Ethiopia;18.01.2023;499228;28;44,857;7572;0;0;4046,266;0,227;0,364;61,371;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104,957;19.sty;3,526;2,063;1729,927;26.sty;182,634;sty.00;0,4;08.sty;sty.00;0,3;66,6;0,485;123379928;;;;
OWID_EUR;;Europe;18.01.2023;246022101;32177;48047,571;2013612;537;604;330316,224;43,202;64,51;2703,532;0,721;0,811;;;;;;;;;;;;;;;;;;;1371495868;522029257;498812593;356750895;106408;113482;184,14;70,09;66,97;47,9;152;19339;0,003;;;;;;;;;;;;;;;;744807803;;;;
OWID_EUN;;European Union;18.01.2023;182556580;25548;36755,143;1200982;476;517,143;405548,996;56,755;81,651;2667,979;1,057;1,149;;;;;;;;;;;;;;;;;;;934479090;338128472;328260636;278033501;98445;66036;207,59;75,12;72,92;61,77;147;1289;0;;;;;;;;;;;;;;;;450146793;;;;
FRO;Europe;Faeroe Islands;18.01.2023;34658;0;0;28;0;0;652484,139;0;0;527,138;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,308;;;;;;;;;;;;80,67;;53117;;;;
FLK;South America;Falkland Islands;18.01.2023;1930;0;0;;;;507761,115;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81,44;;3801;;;;
FJI;Oceania;Fiji;18.01.2023;68793;0;3,143;883;0;0;73989,346;0;sty.00;949,698;0;0;;;;;;;;;;;;;;;;;;;1551928;711658;640668;170563;;17;166,92;76,54;68,91;18,34;18;3;0;;49,562;28.sty;6,224;3,284;8702,975;01.sty;412,82;14,49;10.sty;34,8;;02.sty;67,44;0,743;929769;;;;
FIN;Europe;Finland;18.01.2023;1448656;2259;322,714;8431;168;24;261455,093;407,707;58,244;1521,637;30,321;4,332;;;;;;;;;;;;;;;;;;;13171131;4524280;4347586;4299265;11077;1582;237,71;81,65;78,47;77,59;286;14;0;;18,136;42,8;21,228;13,264;40585,721;;153,507;sty.00;18.sty;22.sty;;sty.00;81,91;0,938;5540745;;;;
FRA;Europe;France;18.01.2023;39507326;5894;5500,286;163713;82;64,429;582592,217;86,915;81,11;2414,183;1,209;0,95;;1141;16,826;18927;279,106;357;5,264;2836;41,821;;;;;;;;;;153902056;54641383;53146615;47196111;32068;24675;226,95;80,58;78,37;69,6;364;428;0,001;;122,578;42;19,718;13,079;38605,671;;86,06;sty.00;30.sty;35,6;;sty.00;82,66;0,901;67813000;;;;
PYF;Oceania;French Polynesia;18.01.2023;77957;0;0;649;0;0;254518,564;0;0;2118,893;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77,324;32,7;7,775;4,593;;;;22,63;;;;;77,66;;306292;;;;
GAB;Africa;Gabon;18.01.2023;48980;0;0;306;0;0;20502,328;0;0;128,087;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,859;23.sty;sty.00;2,976;16562,413;03.sty;259,967;07.sty;;;;06.sty;66,47;0,703;2388997;;;;
GMB;Africa;Gambia;18.01.2023;12586;0;0;372;0;0;4651,154;0;0;137,473;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;207,566;17.sty;2,339;1,417;1561,767;10.sty;331,43;sty.00;0,7;31,2;7,876;01.sty;62,05;0,496;2705995;;;;
GEO;Asia;Georgia;18.01.2023;1811015;1656;236,571;16909;10;1,429;483661,536;442,262;63,18;4515,828;2,671;0,382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65,032;38,7;14,864;10,244;9745,079;04.sty;496,218;07.sty;05.sty;55,5;;02.sty;73,77;0,812;3744385;;;;
DEU;Europe;Germany;18.01.2023;37649808;12001;9748,286;164391;238;138;451599,859;143,949;116,928;1971,828;2,855;1,655;;850;10,196;;;585;7,017;4404;52,825;;;;;;;;;;190653747;64865547;63552817;64529492;14768;12320;228,68;77,8;76,23;77,4;148;217;0;;237,016;46,6;21,453;15,957;45229,245;;156,139;sty.00;28.sty;33,1;;8;81,33;0,947;83369840;;;;
GHA;Africa;Ghana;18.01.2023;171099;0;4,143;1462;0;0,143;5111,114;0;0,124;43,673;0;0,004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;126,719;21.sty;3,385;1,948;4227,63;12;298,245;sty.00;0,3;07.sty;41,047;0,9;64,07;0,611;33475870;;;;
GIB;Europe;Gibraltar;18.01.2023;20379;0;5,286;111;0;0;623649,662;0;161,756;3396,885;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3457,1;;;;;;;;;;;;79,93;;32677;;;;
GRC;Europe;Greece;18.01.2023;5548487;0;0;34779;0;0;534280,401;0;0;3348,974;0;0;;;;;;61;05.sty;1700;163,691;;;;;;;;;;22072217;7932998;7643518;7074294;3107;3639;212,54;76,39;73,6;68,12;350;45;0;;83,479;45,3;20,396;14,524;24574,382;01.sty;175,695;sty.00;35,3;52;;sty.00;82,24;0,888;10384972;;;;
GRL;North America;Greenland;18.01.2023;11971;0;0;21;0;0;211898,609;0;0;371,721;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,137;;;;;;199,941;sty.00;;;;;71,7;;56494;;;;
GRD;North America;Grenada;18.01.2023;19680;0;0;238;0;0;156863,995;0;0;1897,034;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;317,132;29.sty;7,304;5,021;13593,877;;243,964;sty.00;;;;03.sty;72,4;0,779;125459;;;;
GTM;North America;Guatemala;18.01.2023;1220203;782;763,143;20063;4;4,286;68382,026;43,824;42,768;1124,361;0,224;0,24;;;;;;;;;;;;;;;;;;;20012686;8867838;7044084;4100764;7837;5334;112,15;49,7;39,48;22,98;299;1194;0,007;;157,834;22.sty;4,694;3,016;7423,808;08.sty;155,898;sty.00;;;76,665;0,6;74,3;0,663;17843914;;;;
GIN;Africa;Guinea;18.01.2023;38224;0;2;467;0;0,143;2757,994;0;0,144;33,696;0;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,755;19;3,135;1,733;1998,926;35,3;336,717;sty.00;;;17,45;0,3;61,6;0,477;13859349;;;;
GNB;Africa;Guinea-Bissau;18.01.2023;8947;0;0;176;0;0;4249,185;0;0;83,587;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66,191;19.sty;3,002;1,565;1548,675;67,1;382,474;sty.00;;;6,403;;58,32;0,48;2105580;;;;
GUY;South America;Guyana;18.01.2023;72720;0;26;1293;0;0,286;89919,095;0;32,149;1598,809;0;0,353;;;;;;;;;;;;;;;;;;;953690;493404;380118;80168;;0;117,92;61,01;47;sty.00;0;0;0;;3,952;26.sty;5,305;2,837;7435,047;;373,159;sty.00;;;77,159;01.sty;69,91;0,682;808727;;;;
HTI;North America;Haiti;18.01.2023;33969;0;0;860;0;0;2932,153;0;0;74,234;0;0;;;;;;;;;;;;;;;;;;;512556;402110;238246;;;46;sty.00;sty.00;02.sty;;4;86;0,001;;398,448;24.sty;04.sty;2,954;1653,173;23.sty;430,548;sty.00;02.sty;23.sty;22,863;0,7;64;0,51;11585003;;;;
OWID_HIC;;High income;18.01.2023;424665521;341382;285641;2819313;2692;1715,571;339592,613;272,993;228,419;2254,522;2,153;1,372;;;;;;;;;;;;;;;;;;;2783780676;996828360;933765625;816921484;428110;361450;222,61;79,71;74,67;65,33;289;12318;0,001;;;;;;;;;;;;;;;;1250514600;;;;
HND;North America;Honduras;18.01.2023;469724;494;239,429;11098;0;1,429;45023,521;47,35;22,949;1063,755;0;0,137;;;;;;;;;;;;;;;;;;;16850623;6448366;5765185;4637447;;2943;161,51;61,81;55,26;44,45;282;241;0,002;;82,805;24.sty;4,652;2,883;4541,795;16;240,208;sty.00;2;;84,169;0,7;75,27;0,634;10432858;;;;
HKG;Asia;Hong Kong;18.01.2023;2844006;3793;6252,429;12965;56;59,571;379764,725;506,485;834,897;1731,237;7,478;7,955;;;;;;;;;;;;;;;;;;;20558341;6911564;6791450;6855327;7593;13708;274,52;92,29;90,69;91,54;1830;157;0,002;;7039,714;44,8;16,303;10,158;56054,92;;;sty.00;;;;;84,86;0,949;7488863;;;;
HUN;Europe;Hungary;18.01.2023;2191200;866;123,714;48629;51;7,286;219838,785;86,884;12,412;4878,852;5,117;0,731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108,043;43,4;18,577;11,976;26777,561;0,5;278,296;sty.00;26.sty;34,8;;07.sty;76,88;0,854;9967304;;;;
ISL;Europe;Iceland;18.01.2023;208539;0;11,429;238;0;1,286;559231,221;0;30,648;638,236;0;3,448;;;;;;;;27;73,212;;;;;;;;;;;;;;;;;;;;;;;;3,404;37,3;14,431;9,207;46482,958;0,2;117,992;sty.00;14.sty;15.sty;;sty.00;82,99;0,949;372903;;;;
IND;Asia;India;18.01.2023;44682729;134;131,714;530728;0;0,714;31529,478;0,095;0,093;374,498;0;0,001;;;;;;;;;;;;;;;;;;;2201842205;1027255547;951360940;223225718;100424;49660;155,37;72,49;67,13;15,75;35;2644;0;;450,419;28.sty;5,989;3,414;6426,674;21.sty;282,28;sty.00;01.sty;20.sty;59,55;0,53;69,66;0,645;1417173120;;;;
IDN;Asia;Indonesia;18.01.2023;6727007;339;332;160756;10;7,286;24417,329;sty.00;1,205;583,504;0,036;0,026;;;;;;;;;;;;;;;;;;;444303130;203657535;172693321;67952274;;40329;161,27;73,92;62,68;24,66;146;2946;0,001;;145,725;29.sty;5,319;3,053;11188,744;05.sty;342,864;sty.00;02.sty;76,1;64,204;01.sty;71,72;0,718;275501344;;;;
OWID_INT;;International;18.01.2023;721;0;0;15;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IRN;Asia;Iran;18.01.2023;7562998;130;103,286;144728;0;1,143;85408,803;1,468;1,166;1634,411;0;0,013;;;;;;;;;;;;;;;;;;;154942435;65132600;58527648;31282187;;6775;174,98;73,55;66,1;35,33;77;772;0,001;;49,831;32,4;sty.00;3,182;19082,62;0,2;270,308;sty.00;0,8;21.sty;;01.sty;76,68;0,783;88550568;;;;
IRQ;Asia;Iraq;18.01.2023;2465545;0;0;25375;0;0;55410,332;0;0;570,274;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88,125;20;3,186;1,957;15663,986;02.sty;218,612;sty.00;;;94,576;01.sty;70,6;0,674;44496124;;;;
IRL;Europe;Ireland;18.01.2023;1699347;1572;224,571;8431;43;6,143;338305,886;312,954;44,708;1678,443;sty.00;1,223;;29;5,773;509;101,332;18;3,595;677;134,829;;;;;;;;;;11100602;4106012;4058534;3177204;299;337;220,99;81,74;80,8;63,25;67;36;0,001;;69,874;38,7;13,928;8,678;67335,293;0,2;126,459;sty.00;23;25.sty;;sty.00;82,3;0,955;5023108;;;;
IMN;Europe;Isle of Man;18.01.2023;38008;0;0;116;0;0;449617,905;0;0;1372,229;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147,872;;;;;;;;;;;;81,4;;84534;;;;
ISR;Asia;Israel;18.01.2023;4778802;1589;703,714;12137;11;4,143;505746,852;168,166;74,475;1284,475;1,164;0,438;;41;4,339;413;43,708;19;2,011;269;28,469;;;;;;;;;;18628301;6721788;6158106;5748407;657;907;197,15;71,14;65,17;60,84;96;10;0;;402,606;30.sty;11,733;7,359;33132,32;0,5;93,32;sty.00;15.sty;35,4;;sty.00;82,97;0,919;9449000;;;;
ITA;Europe;Italy;18.01.2023;25363742;84060;12008,571;185993;576;82,286;429621,072;1423,841;203,406;3150,423;9,757;1,394;;310;5,251;6731;114,012;196;sty.00;2506;42,448;;;;;;;;;;143576918;50865931;47971672;46247648;13387;12124;243,2;86,16;81,26;78,34;205;109;0;;205,859;47,9;23,021;16,24;35220,084;2;113,151;sty.00;19.sty;27.sty;;sty.00;83,51;0,892;59037472;;;;
JAM;North America;Jamaica;18.01.2023;153143;175;45,143;3476;11;1,571;54164,241;61,895;15,966;1229,406;3,891;0,556;;;;;;;;;;;;;;;;;;;1509702;845520;745634;45664;;219;53,4;29.sty;26,37;sty.00;77;152;0,005;;266,879;31,4;9,684;sty.00;8193,571;;206,537;sty.00;05.sty;28.sty;66,425;01.sty;74,47;0,734;2827382;;;;
JPN;Asia;Japan;18.01.2023;31745060;125108;125169,429;63777;449;425,286;256108,315;1009,329;1009,824;514,531;3,622;3,431;;1798;14,506;44458;358,672;;;;;;;;;;;;;;376069674;104601119;103210148;168258407;144782;247498;303,4;84,39;83,27;135,75;1997;2627;0,002;;347,778;48,2;27,049;18,493;39002,223;;79,37;sty.00;11.sty;33,7;;13.sty;84,63;0,919;123951696;;;;
JEY;Europe;Jersey;08.01.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;266569;84348;81856;73642;;31;240,59;76,13;73,88;66,47;280;1;0,001;;;;;;;;;;;;;;;;110796;;;;
