iso_code;continent;location;last_updated_date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred;new_vaccinations_smoothed_per_million;new_people_vaccinated_smoothed;new_people_vaccinated_smoothed_per_hundred;stringency_index;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;population;excess_mortality_cumulative_absolute;excess_mortality_cumulative;excess_mortality;excess_mortality_cumulative_per_million
TJK;Asia;Tajikistan;18.01.2023;17786;0;0;125;0;0;1787,037;0;0;12,559;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64,281;23.sty;3,466;2,155;2896,913;04.sty;427,698;07.sty;;;72,704;04.sty;71,1;0,668;9952789;;;;
TZA;Africa;Tanzania;18.01.2023;42530;0;9;846;0;0;649,335;0;0,137;12,916;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;64,699;17.sty;3,108;1,874;2683,304;49,1;217,288;sty.00;03.sty;26.sty;47,953;0,7;65,46;0,529;65497752;;;;
THA;Asia;Thailand;18.01.2023;4752782;0;0;34668;0;0;66289,809;0;0;483,535;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135,132;40,1;11,373;sty.00;16277,671;0,1;109,861;07.sty;01.sty;38,8;90,67;02.sty;77,15;0,777;71697024;;;;
TLS;Asia;Timor;18.01.2023;23407;0;0,429;138;0;0;17451,006;0;0,32;102,885;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87,176;18;3,556;1,897;6570,102;30.sty;335,346;sty.00;06.sty;78,1;28,178;05.sty;69,5;0,606;1341298;;;;
TGO;Africa;Togo;18.01.2023;39352;0;0,286;290;0;0;4447,207;0;0,032;32,773;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143,366;19.sty;2,839;1,525;1429,813;49,2;280,033;sty.00;0,9;14.sty;10,475;0,7;61,04;0,515;8848700;;;;
TON;Oceania;Tonga;18.01.2023;16590;0;0;13;0;0,143;155239,69;0;0;121,647;0;1,337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150,028;22.sty;sty.00;4,032;5425,621;;227,49;15,42;11.sty;44,4;;02.sty;70,91;0,725;106867;;;;
TTO;North America;Trinidad and Tobago;18.01.2023;187204;519;74,143;4309;12;1,714;122272,203;338,985;48,426;2814,421;7,838;01.sty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;266,886;36,2;10,014;5,819;28763,071;;228,467;sty.00;;;89,443;3;73,51;0,796;1531043;;;;
TUN;Africa;Tunisia;18.01.2023;1150217;2488;355,429;29291;0;0,429;93088,88;201,358;28,765;2370,567;0;0,035;;;;;;;;;;;;;;;;;;;13241985;7217359;6398469;1254815;;59;107,17;58,41;51,78;sty.00;5;8;0;;74,228;32,7;8,001;5,075;10849,297;2;318,991;sty.00;01.sty;65,8;78,687;02.sty;76,7;0,74;12356116;;;;
TUR;Asia;Turkey;18.01.2023;17042722;0;0;101492;0;0;199700,876;0;0;1189,249;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;104,914;31,6;8,153;5,061;25129,341;0,2;171,285;sty.00;14.sty;41,1;;sty.00;77,69;0,82;85341248;;;;
TCA;North America;Turks and Caicos Islands;18.01.2023;6522;43;6,143;38;2;0,286;142632,2;940,384;134,341;831,037;43,739;6,248;;;;;;;;;;;;;;;;;;;73907;32815;30710;7443;;7;161,63;71,76;67,16;16,28;153;3;0,007;;37,312;;;;;;;;;;;;80,22;;45726;;;;
